name,country_abrv,confederation
Iraq,IRQ,AFC
Mozambique,MOZ,CAF
Indonesia,IDN,AFC
Antigua and Barbuda,ATG,CONCACAF
Jordan,JOR,AFC
Sudan,SDN,CAF
Mauritius,MRI,CAF
Croatia,CRO,UEFA
Fiji,FIJ,OFC
Barbados,BRB,CONCACAF
Oman,OMA,AFC
Guinea-Bissau,GNB,CAF
St. Lucia,LCA,CONCACAF
Hong Kong,HKG,AFC
Panama,PAN,CONCACAF
Grenada,GRN,CONCACAF
Puerto Rico,PUR,CONCACAF
Yemen,YEM,AFC
St. Vincent and the Grenadines,VIN,CONCACAF
Swaziland,SWZ,CAF
Luxembourg,LUX,UEFA
Ethiopia,ETH,CAF
Albania,ALB,UEFA
Bolivia,BOL,CONMEBOL
Bahrain,BHR,AFC
Singapore,SIN,AFC
Congo,CGO,CAF
Malaysia,MAS,AFC
Uganda,UGA,CAF
Lithuania,LTU,UEFA
Faroe Islands,FRO,UEFA
Suriname,SUR,CONCACAF
Syria,SYR,AFC
Burkina Faso,BFA,CAF
Latvia,LVA,UEFA
Burundi,BDI,CAF
Togo,TOG,CAF
Angola,ANG,CAF
Tahiti,TAH,OFC
Liberia,LBR,CAF
South Africa,RSA,CAF
San Marino,SMR,UEFA
Nepal,NEP,AFC
Gambia,GAM,CAF
Equatorial Guinea,EQG,CAF
Myanmar,MYA,AFC
Liechtenstein,LIE,UEFA
Nicaragua,NCA,CONCACAF
Chad,CHA,CAF
Central African Republic,CTA,CAF
Chinese Taipei,TPE,AFC
Namibia,NAM,CAF
Vanuatu,VAN,OFC
Aruba,ARU,CONCACAF
Lebanon,LBN,AFC
Bahamas,BAH,CONCACAF
Maldives,MDV,AFC
Rwanda,RWA,CAF
Philippines,PHI,AFC
Seychelles,SEY,CAF
Belarus,BLR,UEFA
Pakistan,PAK,AFC
Benin,BEN,CAF
Guyana,GUY,CONCACAF
Ukraine,UKR,UEFA
Haiti,HAI,CONCACAF
Slovenia,SVN,UEFA
Estonia,EST,UEFA
Bangladesh,BAN,AFC
Mauritania,MTN,CAF
Cabo Verde,CPV,CAF
Solomon Islands,SOL,OFC
Libya,LBY,CAF
Botswana,BOT,CAF
Brunei Darussalam,BRU,AFC
Dominican Republic,DOM,CONCACAF
Lesotho,LES,CAF
India,IND,AFC
Cuba,CUB,CONCACAF
Venezuela,VEN,CONMEBOL
Guatemala,GUA,CONCACAF
Niger,NIG,CAF
Tanzania,TAN,CAF
Cameroon,CMR,CAF
Scotland,SCO,UEFA
USA,USA,CONCACAF
Mexico,MEX,CONCACAF
Bulgaria,BUL,UEFA
Cote d'lvoire,CIV,CAF
Wales,WAL,UEFA
Egypt,EGY,CAF
Yugoslavia,YUG,UEFA
Greece,GRE,UEFA
Zambia,ZAM,CAF
Portugal,POR,UEFA
Austria,AUT,UEFA
Colombia,COL,CONMEBOL
Hungary,HUN,UEFA
Costa Rica,CRC,CONCACAF
Algeria,ALG,CAF
Poland,POL,UEFA
France,FRA,UEFA
Czechoslovakia,TCH,UEFA
Germany,GER,UEFA
Italy,ITA,UEFA
Brazil,BRA,CONMEBOL
Sweden,SWE,UEFA
England,ENG,UEFA
Republic of Ireland,IRL,UEFA
Netherlands,NED,UEFA
Russia,RUS,UEFA
Denmark,DEN,UEFA
Argentina,ARG,CONMEBOL
Romania,ROU,UEFA
Switzerland,SUI,UEFA
Nigeria,NGA,CAF
Norway,NOR,UEFA
Spain,ESP,UEFA
Uruguay,URU,CONMEBOL
Belgium,BEL,UEFA
Tunisia,TUN,CAF
Ghana,GHA,CAF
Honduras,HON,CONCACAF
Morocco,MAR,CAF
Guinea,GUI,CAF
Israel,ISR,UEFA
Ecuador,ECU,CONMEBOL
Japan,JPN,AFC
Jamaica,JAM,CONCACAF
Paraguay,PAR,CONMEBOL
Mali,MLI,CAF
New Zealand,NZL,OFC
Kuwait,KUW,AFC
Cyprus,CYP,UEFA
Malta,MLT,UEFA
Madagascar,MAD,CAF
Thailand,THA,AFC
Kenya,KEN,CAF
Korea DPR,PRK,AFC
Peru,PER,CONMEBOL
Sierra Leone,SLE,CAF
Trinidad and Tobago,TRI,CONCACAF
Somalia,SOM,CAF
IR Iran,IRN,AFC
United Arab Emirates,UAE,AFC
Turkey,TUR,UEFA
Northern Ireland,NIR,UEFA
Finland,FIN,UEFA
Australia,AUS,AFC
Iceland,ISL,UEFA
Chile,CHI,CONMEBOL
Saudi Arabia,KSA,AFC
Korea Republic,KOR,AFC
El Salvador,SLV,CONCACAF
Senegal,SEN,CAF
Qatar,QAT,AFC
Malawi,MWI,CAF
Zimbabwe,ZIM,CAF
Gabon,GAB,CAF
China PR,CHN,AFC
Canada,CAN,CONCACAF
Bermuda,BER,CONCACAF
Zaire,ZAI,CAF
Macau,MAC,AFC
Laos,LAO,AFC
Vietnam,VIE,AFC
Sri Lanka,SRI,AFC
Cayman Islands,CAY,CONCACAF
Slovakia,SVK,UEFA
St. Kitts and Nevis,SKN,CONCACAF
Czech Republic,CZE,UEFA
Georgia,GEO,UEFA
North Macedonia,MKD,UEFA
Moldova,MDA,UEFA
Armenia,ARM,UEFA
Azerbaijan,AZE,UEFA
Turkmenistan,TKM,AFC
Uzbekistan,UZB,AFC
Tajikistan,TJK,AFC
Kyrgyz Republic,KGZ,AFC
Kazakhstan,KAZ,UEFA
Djibouti,DJI,CAF
Dominica,DMA,CONCACAF
Cambodia,CAM,AFC
Belize,BLZ,CONCACAF
Bosnia and Herzegovina,BIH,UEFA
Guam,GUM,AFC
Papua New Guinea,PNG,OFC
Cook Islands,COK,OFC
Andorra,AND,UEFA
Samoa,SAM,OFC
Tonga,TGA,OFC
British Virgin Islands,VGB,CONCACAF
Anguilla,AIA,CONCACAF
Sao Tome e Principe,STP,CAF
American Samoa,ASA,OFC
Eritrea,ERI,CAF
Mongolia,MNG,AFC
Palestine,PLE,AFC
Turks and Caicos Islands,TCA,CONCACAF
US Virgin Islands,VIR,CONCACAF
Montserrat,MSR,CONCACAF
Congo DR,COD,CAF
Bhutan,BHU,AFC
Serbia and Montenegro,SCG,UEFA
Afghanistan,AFG,AFC
New Caledonia,NCL,OFC
Serbia,SRB,UEFA
Timor-Leste,TLS,AFC
Comoros,COM,CAF
Netherlands Antilles,ANT,CONCACAF
Montenegro,MNE,UEFA
Curacao,CUW,CONCACAF
South Sudan,SSD,CAF
Kosovo,KVX,UEFA
Gibraltar,GIB,UEFA
